,Name,Symbol
0,Voiced bilabial plosive,b
1,Voiceless palatal plosive,c
2,Voiceless palatal fricative,ç
3,Voiced alveolar plosive,d
4,Voiceless labiodental fricative,f
5,Voiced velar plosive,ɡ
6,Voiceless glottal fricative,h
7,Voiced palatal approximant,j
8,Voiceless velar plosive,k
9,Voiced alveolar lateral approximant,l
10,Voiced bilabial nasal,m
11,Voiced alveolar nasal,n
12,Voiced velar nasal,ŋ
13,Voiceless bilabial plosive,p
14,Voiceless labiodental affricate,pf
15,Voiced uvular fricative,ʁ
16,Voiced alveolar trill,r
17,Voiceless alveolar fricative,s
18,Voiceless postalveolar fricative,ʃ
19,Voiceless alveolar plosive,t
20,Voiceless alveolar affricate,ts
21,Voiceless postalveolar affricate,tʃ
22,Voiced labiodental fricative,v
23,Voiceless velar fricative,x
24,Voiced alveolar fricative,z
25,Voiceless alveolar fricative,s
26,Glottal stop,ʔ
27,Voiced postalveolar affricate,dʒ
28,Voiced dental fricative,ð
29,Voiced alveolar approximant,ɹ
30,Voiceless dental fricative,θ
31,Voiced labial–velar approximant,w
32,Voiced postalveolar fricative,ʒ
